"BehaviorSpace results (NetLogo 7.0.2)","Table version 2.0"
"modelo_base.nlogox"
"experimento-4-positiva"
"02/01/2026 19:37:21:265 -0600"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-53","53","-5","4"
"[run number]","learning-rate","percent-option-B","agents-updated-per-tick","confidence-threshold","spatial-interactions?","influence-type","[step]","pref-A","pref-B"
"74","0.02","39","5","0.5","false","positive","259","656","414"
"79","0.02","39","5","0.5","false","positive","69","652","418"
"76","0.02","39","5","0.5","false","positive","166","654","416"
"77","0.02","39","5","0.5","false","positive","166","658","412"
"80","0.02","39","5","0.5","false","positive","69","654","416"
"83","0.02","39","5","0.5","false","positive","69","655","415"
"81","0.02","39","5","0.5","false","positive","69","653","417"
"78","0.02","39","5","0.5","false","positive","166","651","419"
"82","0.02","39","5","0.5","false","positive","69","654","416"
"84","0.02","39","5","0.5","false","positive","69","652","418"
"75","0.02","39","5","0.5","false","positive","259","652","418"
"79","0.02","39","5","0.5","false","positive","166","653","417"
"76","0.02","39","5","0.5","false","positive","259","655","415"
"80","0.02","39","5","0.5","false","positive","166","654","416"
"77","0.02","39","5","0.5","false","positive","259","658","412"
"85","0.02","39","5","0.5","false","positive","69","655","415"
"83","0.02","39","5","0.5","false","positive","166","653","417"
"78","0.02","39","5","0.5","false","positive","259","651","419"
"82","0.02","39","5","0.5","false","positive","166","656","414"
"84","0.02","39","5","0.5","false","positive","166","648","422"
"81","0.02","39","5","0.5","false","positive","166","653","417"
"86","0.02","39","5","0.5","false","positive","69","650","420"
"79","0.02","39","5","0.5","false","positive","259","653","417"
"87","0.02","39","5","0.5","false","positive","69","654","416"
"80","0.02","39","5","0.5","false","positive","259","655","415"
"88","0.02","39","5","0.5","false","positive","69","656","414"
"83","0.02","39","5","0.5","false","positive","259","653","417"
"89","0.02","39","5","0.5","false","positive","69","655","415"
"85","0.02","39","5","0.5","false","positive","166","653","417"
"86","0.02","39","5","0.5","false","positive","166","647","423"
"84","0.02","39","5","0.5","false","positive","259","649","421"
"82","0.02","39","5","0.5","false","positive","259","656","414"
"81","0.02","39","5","0.5","false","positive","259","653","417"
"87","0.02","39","5","0.5","false","positive","166","657","413"
"90","0.02","39","5","0.5","false","positive","69","653","417"
"88","0.02","39","5","0.5","false","positive","166","661","409"
"91","0.03","39","5","0.5","false","positive","69","651","419"
"92","0.03","39","5","0.5","false","positive","69","654","416"
"89","0.02","39","5","0.5","false","positive","166","654","416"
"86","0.02","39","5","0.5","false","positive","259","650","420"
"94","0.03","39","5","0.5","false","positive","69","658","412"
"93","0.03","39","5","0.5","false","positive","69","655","415"
"85","0.02","39","5","0.5","false","positive","259","653","417"
"90","0.02","39","5","0.5","false","positive","166","655","415"
"87","0.02","39","5","0.5","false","positive","259","659","411"
"95","0.03","39","5","0.5","false","positive","69","654","416"
"92","0.03","39","5","0.5","false","positive","166","657","413"
"89","0.02","39","5","0.5","false","positive","259","655","415"
"88","0.02","39","5","0.5","false","positive","259","659","411"
"91","0.03","39","5","0.5","false","positive","166","652","418"
"96","0.03","39","5","0.5","false","positive","69","654","416"
"94","0.03","39","5","0.5","false","positive","166","661","409"
"93","0.03","39","5","0.5","false","positive","166","655","415"
"90","0.02","39","5","0.5","false","positive","259","656","414"
"97","0.03","39","5","0.5","false","positive","69","656","414"
"98","0.03","39","5","0.5","false","positive","69","653","417"
"92","0.03","39","5","0.5","false","positive","259","658","412"
"95","0.03","39","5","0.5","false","positive","166","656","414"
"99","0.03","39","5","0.5","false","positive","69","652","418"
"100","0.03","39","5","0.5","false","positive","69","655","415"
"91","0.03","39","5","0.5","false","positive","259","654","416"
"96","0.03","39","5","0.5","false","positive","166","654","416"
"101","0.03","39","5","0.5","false","positive","69","654","416"
"93","0.03","39","5","0.5","false","positive","259","658","412"
"94","0.03","39","5","0.5","false","positive","259","659","411"
"97","0.03","39","5","0.5","false","positive","166","659","411"
"98","0.03","39","5","0.5","false","positive","166","652","418"
"95","0.03","39","5","0.5","false","positive","259","655","415"
"99","0.03","39","5","0.5","false","positive","166","655","415"
"102","0.03","39","5","0.5","false","positive","69","653","417"
"100","0.03","39","5","0.5","false","positive","166","658","412"
"104","0.03","39","5","0.5","false","positive","69","656","414"
"103","0.03","39","5","0.5","false","positive","69","656","414"
"101","0.03","39","5","0.5","false","positive","166","654","416"
"105","0.03","39","5","0.5","false","positive","69","654","416"
"96","0.03","39","5","0.5","false","positive","259","654","416"
"98","0.03","39","5","0.5","false","positive","259","651","419"
"97","0.03","39","5","0.5","false","positive","259","658","412"
"100","0.03","39","5","0.5","false","positive","259","659","411"
"106","0.03","39","5","0.5","false","positive","69","658","412"
"102","0.03","39","5","0.5","false","positive","166","657","413"
"99","0.03","39","5","0.5","false","positive","259","654","416"
"101","0.03","39","5","0.5","false","positive","259","655","415"
"105","0.03","39","5","0.5","false","positive","166","655","415"
"103","0.03","39","5","0.5","false","positive","166","657","413"
"107","0.03","39","5","0.5","false","positive","69","652","418"
"104","0.03","39","5","0.5","false","positive","166","656","414"
"108","0.03","39","5","0.5","false","positive","69","654","416"
"111","0.03","39","5","0.5","false","positive","69","653","417"
"110","0.03","39","5","0.5","false","positive","69","655","415"
"105","0.03","39","5","0.5","false","positive","259","655","415"
"107","0.03","39","5","0.5","false","positive","166","650","420"
"102","0.03","39","5","0.5","false","positive","259","657","413"
"106","0.03","39","5","0.5","false","positive","166","657","413"
"103","0.03","39","5","0.5","false","positive","259","656","414"
"104","0.03","39","5","0.5","false","positive","259","656","414"
"109","0.03","39","5","0.5","false","positive","69","652","418"
"108","0.03","39","5","0.5","false","positive","166","654","416"
"112","0.03","39","5","0.5","false","positive","69","655","415"
"111","0.03","39","5","0.5","false","positive","166","652","418"
"110","0.03","39","5","0.5","false","positive","166","657","413"
"113","0.03","39","5","0.5","false","positive","69","652","418"
"107","0.03","39","5","0.5","false","positive","259","650","420"
"115","0.03","39","5","0.5","false","positive","69","654","416"
"114","0.03","39","5","0.5","false","positive","69","653","417"
"106","0.03","39","5","0.5","false","positive","259","655","415"
"109","0.03","39","5","0.5","false","positive","166","655","415"
"112","0.03","39","5","0.5","false","positive","166","657","413"
"116","0.03","39","5","0.5","false","positive","69","656","414"
"111","0.03","39","5","0.5","false","positive","259","653","417"
"108","0.03","39","5","0.5","false","positive","259","657","413"
"117","0.03","39","5","0.5","false","positive","69","652","418"
"115","0.03","39","5","0.5","false","positive","166","652","418"
"114","0.03","39","5","0.5","false","positive","166","654","416"
"113","0.03","39","5","0.5","false","positive","166","654","416"
"110","0.03","39","5","0.5","false","positive","259","660","410"
"118","0.03","39","5","0.5","false","positive","69","656","414"
"109","0.03","39","5","0.5","false","positive","259","652","418"
"116","0.03","39","5","0.5","false","positive","166","654","416"
"112","0.03","39","5","0.5","false","positive","259","658","412"
"121","0.04","39","5","0.5","false","positive","69","654","416"
"119","0.03","39","5","0.5","false","positive","69","653","417"
"122","0.04","39","5","0.5","false","positive","69","654","416"
"120","0.03","39","5","0.5","false","positive","69","653","417"
"118","0.03","39","5","0.5","false","positive","166","653","417"
"117","0.03","39","5","0.5","false","positive","166","656","414"
"114","0.03","39","5","0.5","false","positive","259","656","414"
"115","0.03","39","5","0.5","false","positive","259","656","414"
"116","0.03","39","5","0.5","false","positive","259","653","417"
"113","0.03","39","5","0.5","false","positive","259","656","414"
"121","0.04","39","5","0.5","false","positive","166","658","412"
"125","0.04","39","5","0.5","false","positive","69","656","414"
"124","0.04","39","5","0.5","false","positive","69","652","418"
"122","0.04","39","5","0.5","false","positive","166","654","416"
"118","0.03","39","5","0.5","false","positive","259","653","417"
"120","0.03","39","5","0.5","false","positive","166","649","421"
"119","0.03","39","5","0.5","false","positive","166","655","415"
"117","0.03","39","5","0.5","false","positive","259","654","416"
"126","0.04","39","5","0.5","false","positive","69","655","415"
"127","0.04","39","5","0.5","false","positive","69","654","416"
"121","0.04","39","5","0.5","false","positive","259","661","409"
"125","0.04","39","5","0.5","false","positive","166","660","410"
"122","0.04","39","5","0.5","false","positive","259","654","416"
"128","0.04","39","5","0.5","false","positive","69","656","414"
"124","0.04","39","5","0.5","false","positive","166","654","416"
"123","0.04","39","5","0.5","false","positive","69","654","416"
"129","0.04","39","5","0.5","false","positive","69","653","417"
"130","0.04","39","5","0.5","false","positive","69","651","419"
"127","0.04","39","5","0.5","false","positive","166","656","414"
"125","0.04","39","5","0.5","false","positive","259","662","408"
"120","0.03","39","5","0.5","false","positive","259","648","422"
"119","0.03","39","5","0.5","false","positive","259","653","417"
"126","0.04","39","5","0.5","false","positive","166","658","412"
"123","0.04","39","5","0.5","false","positive","166","654","416"
"128","0.04","39","5","0.5","false","positive","166","658","412"
"124","0.04","39","5","0.5","false","positive","259","652","418"
"129","0.04","39","5","0.5","false","positive","166","653","417"
"131","0.04","39","5","0.5","false","positive","69","651","419"
"130","0.04","39","5","0.5","false","positive","166","651","419"
"127","0.04","39","5","0.5","false","positive","259","664","406"
"132","0.04","39","5","0.5","false","positive","69","653","417"
"134","0.04","39","5","0.5","false","positive","69","656","414"
"133","0.04","39","5","0.5","false","positive","69","653","417"
"135","0.04","39","5","0.5","false","positive","69","656","414"
"123","0.04","39","5","0.5","false","positive","259","660","410"
"129","0.04","39","5","0.5","false","positive","259","655","415"
"131","0.04","39","5","0.5","false","positive","166","655","415"
"128","0.04","39","5","0.5","false","positive","259","663","407"
"130","0.04","39","5","0.5","false","positive","259","651","419"
"126","0.04","39","5","0.5","false","positive","259","660","410"
"137","0.04","39","5","0.5","false","positive","69","652","418"
"132","0.04","39","5","0.5","false","positive","166","650","420"
"139","0.04","39","5","0.5","false","positive","69","657","413"
"136","0.04","39","5","0.5","false","positive","69","651","419"
"138","0.04","39","5","0.5","false","positive","69","656","414"
"135","0.04","39","5","0.5","false","positive","166","657","413"
"134","0.04","39","5","0.5","false","positive","166","660","410"
"131","0.04","39","5","0.5","false","positive","259","661","409"
"133","0.04","39","5","0.5","false","positive","166","650","420"
"140","0.04","39","5","0.5","false","positive","69","653","417"
"141","0.04","39","5","0.5","false","positive","69","656","414"
"137","0.04","39","5","0.5","false","positive","166","656","414"
"139","0.04","39","5","0.5","false","positive","166","657","413"
"136","0.04","39","5","0.5","false","positive","166","650","420"
"132","0.04","39","5","0.5","false","positive","259","653","417"
"135","0.04","39","5","0.5","false","positive","259","662","408"
"138","0.04","39","5","0.5","false","positive","166","659","411"
"134","0.04","39","5","0.5","false","positive","259","663","407"
"140","0.04","39","5","0.5","false","positive","166","657","413"
"133","0.04","39","5","0.5","false","positive","259","652","418"
"142","0.04","39","5","0.5","false","positive","69","652","418"
"143","0.04","39","5","0.5","false","positive","69","661","409"
"141","0.04","39","5","0.5","false","positive","166","656","414"
"137","0.04","39","5","0.5","false","positive","259","655","415"
"139","0.04","39","5","0.5","false","positive","259","663","407"
"144","0.04","39","5","0.5","false","positive","69","655","415"
"145","0.04","39","5","0.5","false","positive","69","656","414"
"136","0.04","39","5","0.5","false","positive","259","649","421"
"138","0.04","39","5","0.5","false","positive","259","659","411"
"140","0.04","39","5","0.5","false","positive","259","657","413"
"146","0.04","39","5","0.5","false","positive","69","651","419"
"147","0.04","39","5","0.5","false","positive","69","655","415"
"143","0.04","39","5","0.5","false","positive","166","668","402"
"141","0.04","39","5","0.5","false","positive","259","655","415"
"142","0.04","39","5","0.5","false","positive","166","654","416"
"148","0.04","39","5","0.5","false","positive","69","655","415"
"149","0.04","39","5","0.5","false","positive","69","653","417"
"144","0.04","39","5","0.5","false","positive","166","651","419"
"150","0.04","39","5","0.5","false","positive","69","649","421"
"145","0.04","39","5","0.5","false","positive","166","656","414"
"146","0.04","39","5","0.5","false","positive","166","656","414"
"151","0.05","39","5","0.5","false","positive","69","652","418"
"147","0.04","39","5","0.5","false","positive","166","653","417"
"143","0.04","39","5","0.5","false","positive","259","671","399"
"142","0.04","39","5","0.5","false","positive","259","657","413"
"148","0.04","39","5","0.5","false","positive","166","656","414"
"144","0.04","39","5","0.5","false","positive","259","651","419"
"149","0.04","39","5","0.5","false","positive","166","657","413"
"146","0.04","39","5","0.5","false","positive","259","655","415"
"152","0.05","39","5","0.5","false","positive","69","653","417"
"151","0.05","39","5","0.5","false","positive","166","654","416"
"147","0.04","39","5","0.5","false","positive","259","659","411"
"150","0.04","39","5","0.5","false","positive","166","650","420"
"145","0.04","39","5","0.5","false","positive","259","658","412"
"153","0.05","39","5","0.5","false","positive","69","651","419"
"155","0.05","39","5","0.5","false","positive","69","657","413"
"154","0.05","39","5","0.5","false","positive","69","650","420"
"156","0.05","39","5","0.5","false","positive","69","650","420"
"148","0.04","39","5","0.5","false","positive","259","660","410"
"157","0.05","39","5","0.5","false","positive","69","657","413"
"152","0.05","39","5","0.5","false","positive","166","651","419"
"149","0.04","39","5","0.5","false","positive","259","658","412"
"151","0.05","39","5","0.5","false","positive","259","660","410"
"150","0.04","39","5","0.5","false","positive","259","651","419"
"153","0.05","39","5","0.5","false","positive","166","651","419"
"155","0.05","39","5","0.5","false","positive","166","656","414"
"160","0.05","39","5","0.5","false","positive","69","651","419"
"156","0.05","39","5","0.5","false","positive","166","649","421"
"158","0.05","39","5","0.5","false","positive","69","651","419"
"159","0.05","39","5","0.5","false","positive","69","649","421"
"154","0.05","39","5","0.5","false","positive","166","648","422"
"161","0.05","39","5","0.5","false","positive","69","655","415"
"157","0.05","39","5","0.5","false","positive","166","661","409"
"152","0.05","39","5","0.5","false","positive","259","653","417"
"153","0.05","39","5","0.5","false","positive","259","654","416"
"156","0.05","39","5","0.5","false","positive","259","651","419"
"162","0.05","39","5","0.5","false","positive","69","652","418"
"155","0.05","39","5","0.5","false","positive","259","657","413"
"160","0.05","39","5","0.5","false","positive","166","654","416"
"158","0.05","39","5","0.5","false","positive","166","654","416"
"161","0.05","39","5","0.5","false","positive","166","666","404"
"157","0.05","39","5","0.5","false","positive","259","659","411"
"154","0.05","39","5","0.5","false","positive","259","653","417"
"165","0.05","39","5","0.5","false","positive","69","657","413"
"164","0.05","39","5","0.5","false","positive","69","654","416"
"163","0.05","39","5","0.5","false","positive","69","651","419"
"162","0.05","39","5","0.5","false","positive","166","650","420"
"160","0.05","39","5","0.5","false","positive","259","660","410"
"167","0.05","39","5","0.5","false","positive","69","653","417"
"166","0.05","39","5","0.5","false","positive","69","653","417"
"158","0.05","39","5","0.5","false","positive","259","655","415"
"159","0.05","39","5","0.5","false","positive","166","649","421"
"161","0.05","39","5","0.5","false","positive","259","664","406"
"165","0.05","39","5","0.5","false","positive","166","655","415"
"164","0.05","39","5","0.5","false","positive","166","654","416"
"168","0.05","39","5","0.5","false","positive","69","657","413"
"163","0.05","39","5","0.5","false","positive","166","660","410"
"162","0.05","39","5","0.5","false","positive","259","651","419"
"166","0.05","39","5","0.5","false","positive","166","654","416"
"170","0.05","39","5","0.5","false","positive","69","655","415"
"167","0.05","39","5","0.5","false","positive","166","646","424"
"169","0.05","39","5","0.5","false","positive","69","654","416"
"159","0.05","39","5","0.5","false","positive","259","651","419"
"171","0.05","39","5","0.5","false","positive","69","652","418"
"165","0.05","39","5","0.5","false","positive","259","662","408"
