"BehaviorSpace results (NetLogo 7.0.2)","Table version 2.0"
"modelo_base.nlogox"
"negative-influence-voting"
"01/20/2026 11:28:52:023 -0600"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-10","10","-10","10"
"[run number]","learning-rate","percent-option-B","confidence-threshold","influence-type","[step]","pref-A","pref-B"
"2","0.2","39","0.1","negative","2100","231","210"
"3","0.2","39","0.1","negative","3200","241","200"
"1","0.2","39","0.1","negative","1800","249","192"
"4","0.2","39","0.1","negative","3100","240","201"
"7","0.2","39","0.1","negative","3300","242","199"
"9","0.2","39","0.1","negative","3100","242","199"
"5","0.2","39","0.1","negative","3300","244","197"
"6","0.2","39","0.1","negative","3300","230","211"
"8","0.2","39","0.1","negative","3300","238","203"
"3","0.2","39","0.1","negative","3300","241","200"
"2","0.2","39","0.1","negative","2200","229","212"
"4","0.2","39","0.1","negative","3200","238","203"
"7","0.2","39","0.1","negative","3400","242","199"
"9","0.2","39","0.1","negative","3200","241","200"
"5","0.2","39","0.1","negative","3400","242","199"
"6","0.2","39","0.1","negative","3400","231","210"
"8","0.2","39","0.1","negative","3400","238","203"
"1","0.2","39","0.1","negative","1900","246","195"
"3","0.2","39","0.1","negative","3400","240","201"
"4","0.2","39","0.1","negative","3300","236","205"
"7","0.2","39","0.1","negative","3500","240","201"
"9","0.2","39","0.1","negative","3300","242","199"
"5","0.2","39","0.1","negative","3500","240","201"
"6","0.2","39","0.1","negative","3500","231","210"
"8","0.2","39","0.1","negative","3500","238","203"
"3","0.2","39","0.1","negative","3500","241","200"
"4","0.2","39","0.1","negative","3400","234","207"
"1","0.2","39","0.1","negative","2000","246","195"
"7","0.2","39","0.1","negative","3600","238","203"
"9","0.2","39","0.1","negative","3400","242","199"
"5","0.2","39","0.1","negative","3600","240","201"
"6","0.2","39","0.1","negative","3600","231","210"
"8","0.2","39","0.1","negative","3600","239","202"
"3","0.2","39","0.1","negative","3600","241","200"
"4","0.2","39","0.1","negative","3500","233","208"
"7","0.2","39","0.1","negative","3700","237","204"
"9","0.2","39","0.1","negative","3500","238","203"
"5","0.2","39","0.1","negative","3700","238","203"
"6","0.2","39","0.1","negative","3700","236","205"
"8","0.2","39","0.1","negative","3700","240","201"
"1","0.2","39","0.1","negative","2100","246","195"
"3","0.2","39","0.1","negative","3700","241","200"
"4","0.2","39","0.1","negative","3600","234","207"
"7","0.2","39","0.1","negative","3800","237","204"
"9","0.2","39","0.1","negative","3600","238","203"
"5","0.2","39","0.1","negative","3800","237","204"
"6","0.2","39","0.1","negative","3800","235","206"
"8","0.2","39","0.1","negative","3800","239","202"
"3","0.2","39","0.1","negative","3800","242","199"
"4","0.2","39","0.1","negative","3700","234","207"
"7","0.2","39","0.1","negative","3900","235","206"
"9","0.2","39","0.1","negative","3700","236","205"
"5","0.2","39","0.1","negative","3900","235","206"
"1","0.2","39","0.1","negative","2200","244","197"
"2","0.2","39","0.1","negative","2300","231","210"
"8","0.2","39","0.1","negative","3900","237","204"
"6","0.2","39","0.1","negative","3900","231","210"
"3","0.2","39","0.1","negative","3900","242","199"
"4","0.2","39","0.1","negative","3800","234","207"
"7","0.2","39","0.1","negative","4000","235","206"
"9","0.2","39","0.1","negative","3800","238","203"
"5","0.2","39","0.1","negative","4000","232","209"
"8","0.2","39","0.1","negative","4000","237","204"
"1","0.2","39","0.1","negative","2300","241","200"
"6","0.2","39","0.1","negative","4000","231","210"
"2","0.2","39","0.1","negative","2400","230","211"
"3","0.2","39","0.1","negative","4000","240","201"
"4","0.2","39","0.1","negative","3900","235","206"
"7","0.2","39","0.1","negative","4100","237","204"
"9","0.2","39","0.1","negative","3900","238","203"
"5","0.2","39","0.1","negative","4100","232","209"
"8","0.2","39","0.1","negative","4100","237","204"
"6","0.2","39","0.1","negative","4100","227","214"
"1","0.2","39","0.1","negative","2400","241","200"
"3","0.2","39","0.1","negative","4100","238","203"
"4","0.2","39","0.1","negative","4000","234","207"
"7","0.2","39","0.1","negative","4200","234","207"
"9","0.2","39","0.1","negative","4000","239","202"
"5","0.2","39","0.1","negative","4200","232","209"
"2","0.2","39","0.1","negative","2500","232","209"
"6","0.2","39","0.1","negative","4200","230","211"
"8","0.2","39","0.1","negative","4200","237","204"
"3","0.2","39","0.1","negative","4200","237","204"
"4","0.2","39","0.1","negative","4100","235","206"
"7","0.2","39","0.1","negative","4300","234","207"
"9","0.2","39","0.1","negative","4100","239","202"
"5","0.2","39","0.1","negative","4300","230","211"
"1","0.2","39","0.1","negative","2500","241","200"
"8","0.2","39","0.1","negative","4300","237","204"
"6","0.2","39","0.1","negative","4300","232","209"
"2","0.2","39","0.1","negative","2600","234","207"
"3","0.2","39","0.1","negative","4300","238","203"
"4","0.2","39","0.1","negative","4200","236","205"
"7","0.2","39","0.1","negative","4400","233","208"
"9","0.2","39","0.1","negative","4200","238","203"
