"BehaviorSpace results (NetLogo 7.0.2)","Table version 2.0"
"modelo_base.nlogox"
"experimento-3-negativa"
"01/28/2026 09:13:04:081 -0600"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-53","53","-5","4"
"[run number]","learning-rate","percent-option-B","agents-updated-per-tick","confidence-threshold","spatial-interactions?","influence-type","[step]","pref-A","pref-B"
"132","0.53","39","5","0.04","false","negative","166","608","462"
"133","0.53","39","5","0.04","false","negative","69","642","428"
"128","0.53","39","5","0.04","false","negative","259","596","474"
"137","0.53","39","5","0.04","false","negative","69","640","430"
"134","0.53","39","5","0.04","false","negative","69","632","438"
"129","0.53","39","5","0.04","false","negative","259","589","481"
"138","0.53","39","5","0.04","false","negative","69","647","423"
"127","0.53","39","5","0.04","false","negative","259","599","471"
"130","0.53","39","5","0.04","false","negative","259","619","451"
"135","0.53","39","5","0.04","false","negative","166","603","467"
"139","0.53","39","5","0.04","false","negative","69","640","430"
"132","0.53","39","5","0.04","false","negative","259","595","475"
"140","0.53","39","5","0.04","false","negative","69","638","432"
"136","0.53","39","5","0.04","false","negative","166","625","445"
"131","0.53","39","5","0.04","false","negative","259","625","445"
"137","0.53","39","5","0.04","false","negative","166","633","437"
"142","0.53","39","5","0.04","false","negative","69","635","435"
"141","0.53","39","5","0.04","false","negative","69","637","433"
"133","0.53","39","5","0.04","false","negative","166","632","438"
"143","0.53","39","5","0.04","false","negative","69","639","431"
"139","0.53","39","5","0.04","false","negative","166","633","437"
"134","0.53","39","5","0.04","false","negative","166","631","439"
"135","0.53","39","5","0.04","false","negative","259","593","477"
"138","0.53","39","5","0.04","false","negative","166","624","446"
"144","0.53","39","5","0.04","false","negative","69","639","431"
"140","0.53","39","5","0.04","false","negative","166","623","447"
"142","0.53","39","5","0.04","false","negative","166","621","449"
"136","0.53","39","5","0.04","false","negative","259","615","455"
"145","0.53","39","5","0.04","false","negative","69","639","431"
"143","0.53","39","5","0.04","false","negative","166","627","443"
"141","0.53","39","5","0.04","false","negative","166","610","460"
"137","0.53","39","5","0.04","false","negative","259","621","449"
"139","0.53","39","5","0.04","false","negative","259","621","449"
"133","0.53","39","5","0.04","false","negative","259","609","461"
"140","0.53","39","5","0.04","false","negative","259","602","468"
"146","0.53","39","5","0.04","false","negative","69","640","430"
"144","0.53","39","5","0.04","false","negative","166","620","450"
"142","0.53","39","5","0.04","false","negative","259","620","450"
"145","0.53","39","5","0.04","false","negative","166","621","449"
"148","0.53","39","5","0.04","false","negative","69","649","421"
"134","0.53","39","5","0.04","false","negative","259","624","446"
"143","0.53","39","5","0.04","false","negative","259","610","460"
"147","0.53","39","5","0.04","false","negative","69","638","432"
"138","0.53","39","5","0.04","false","negative","259","607","463"
"150","0.53","39","5","0.04","false","negative","69","636","434"
"153","0.53","39","5","0.05","false","negative","69","634","436"
"146","0.53","39","5","0.04","false","negative","166","627","443"
"151","0.53","39","5","0.05","false","negative","69","636","434"
"148","0.53","39","5","0.04","false","negative","166","634","436"
"145","0.53","39","5","0.04","false","negative","259","606","464"
"141","0.53","39","5","0.04","false","negative","259","598","472"
"144","0.53","39","5","0.04","false","negative","259","610","460"
"149","0.53","39","5","0.04","false","negative","69","631","439"
"150","0.53","39","5","0.04","false","negative","166","618","452"
"152","0.53","39","5","0.05","false","negative","69","640","430"
"154","0.53","39","5","0.05","false","negative","69","646","424"
"155","0.53","39","5","0.05","false","negative","69","636","434"
"156","0.53","39","5","0.05","false","negative","69","619","451"
